2.000000000000000000e+01 5.000000000000000000e+01 1.000000000000000000e+02 2.000000000000000000e+02 5.000000000000000000e+02 1.000000000000000000e+03 2.000000000000000000e+03
-8.243906043272035689e-01 -5.507404163821629783e-01 -1.831642984464052493e-01 -2.455548372610341090e-01 -1.704102295301823944e-01 -1.188224462051407221e-01 -9.493165503801304084e-02
1.143020088719347793e+00 7.986959117787625351e-01 5.880222000304518026e-01 3.443877506016725376e-01 1.413418267942303519e-01 1.373067011966394857e-01 7.954636085350307029e-02
4.411813485512253941e+00 2.671641501604510083e+00 1.729179588296246184e+00 1.100689036466917958e+00 4.993341614768658232e-01 4.006068434591362748e-01 3.636023563800295233e-01
9.997700000000000387e+01 9.995999999999999375e+01 9.993999999999999773e+01 9.992400000000000659e+01 9.989700000000000557e+01 9.988899999999999579e+01 9.987800000000000011e+01
9.990494999999999948e+01 9.990017500000000439e+01 9.989557499999999379e+01 9.988587499999999864e+01 9.987332499999999413e+01 9.987364999999999782e+01 9.987000000000000455e+01
9.975300000000000011e+01 9.980899999999999750e+01 9.980200000000000671e+01 9.984900000000000375e+01 9.984999999999999432e+01 9.985399999999999920e+01 9.985800000000000409e+01
9.998900000000000432e+01 9.998099999999999454e+01 9.998199999999999932e+01 9.994700000000000273e+01 9.995499999999999829e+01 9.994400000000000261e+01 9.995499999999999829e+01
9.994584999999999297e+01 9.993009999999999593e+01 9.992794999999999561e+01 9.991347500000000537e+01 9.992199999999999704e+01 9.991949999999999932e+01 9.991692500000000621e+01
9.986599999999999966e+01 9.985500000000000398e+01 9.986700000000000443e+01 9.986299999999999955e+01 9.986700000000000443e+01 9.986599999999999966e+01 9.986499999999999488e+01
